fecha,team1,team2,league,market,label,prob,hit,mia,cuota
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"T. a puerta Suecia +5.5",0.2115,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"T. a puerta Suecia +4.5",0.3669,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"T. a puerta Suecia +3.5",0.5623,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"T. a puerta Suecia +2.5",0.7587,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros a puerta,"Japón tira más a puerta",0.5173,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros totales +21.5",0.2484,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros totales +20.5",0.3237,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros totales +19.5",0.4085,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros totales +18.5",0.4993,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros totales +17.5",0.5918,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros totales +16.5",0.6810,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros totales +15.5",0.7623,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros totales +14.5",0.8320,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros Japón +12.5",0.2157,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros Japón +11.5",0.3118,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros Japón +10.5",0.4264,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros Japón +9.5",0.5515,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros Japón +8.5",0.6756,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros Japón +7.5",0.7865,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros Japón +6.5",0.8745,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros Suecia +11.5",0.1587,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros Suecia +10.5",0.2461,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros Suecia +9.5",0.3581,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros Suecia +8.5",0.4885,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros Suecia +7.5",0.6253,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros Suecia +6.5",0.7528,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tiros,"Tiros Suecia +5.5",0.8567,1,0,
2026-06-26,Japón,Suecia,mundial 2026,Tarjetas,"Tarjetas totales +4.5",0.1119,0,0,
2026-06-26,Japón,Suecia,mundial 2026,Tarjetas,"Tarjetas totales +3.5",0.2473,0,0,
